item_id,item_name,price
008890,迪奧逆時能量精華,4500
055673,超未來肌因賦活露,4250
000033,蕾莉歐,2110
088829,海藻問屋海帶芽湯-蟹玉魚板,168
044794,海藻問屋海帶芽湯-香菇雞肉,168
009320,ZOTT綜合水果優格460g,144
092761,福源花生醬360g,168
053676,Hintz 可可,389
049760,龜田6入柿種米果,112
020098,福山北海道穰味噌300g,255
008542,屏大薄鹽醬油710ml,275
042198,一蘭拉麵直麵(5入盒裝)645G,750
022669,迪奧雪晶靈極亮光,4100
008436,設計師服飾Designer Collections,7231
000501,光泉低脂鮮乳290ml,27
030065,袋子二元,2
041267,塑膠袋-2元,2
092002,二元提袋,2
103546,2元塑膠袋,2
046083,（新）４５號銷售用購,2
057492,2杯袋,2
071485,購物袋(小),2
076657,塑膠袋 2元,2
051091,袋2,2
027123,1號背心袋,2
041549,韓州-背心袋,2
106727,6杯袋,2
009683,代收手續費４,4
080685,2號背心袋,4
102224,白飯換冬粉,5
059802,紙袋,5
014380,代收手續費６,6
083285,加蛋,8
046932,員-加蛋,8
021787,+茶凍,10
083609,代收手續費１０,10
083897,加10元,10
005067,不飯加王子麵,10
095539,科學麵香辣風味袋,10
021946,加厚奶蓋,10
072882,Q彈珍珠,10
049878,+10元,10
014654,茶凍,10
043769,奇多隨口脆雞汁玉米脆,10
068469,科學麵,10
096811,茉莉蜜茶300cc,10
050436,太陽蛋升級蛋包飯,10
055932,美國糖,10
097925,+珍珠,10
107059,椰果,10
099807,員工打折,10
023062,10元糖果,10
102970,奇多隨口脆家常起司玉米脆,10
029875,飯換麵線+10元,10
048148,折抵10元,10
087819,黑松FIN健康補給飲料 240m,10
100849,津津蘆筍汁 245ml,10
010995,東京香蕉-保冷劑,10
069964,便當配菜B,10
002100,御園坊熟食10元,10
105968,（初二）五路納財開運,10
078925,統一麥香奶茶TP300,10
073512,科學麵香蔥雞汁,10
081150,冬粉換烏龍麵,10
000694,悅氏礦泉水 600ml,10
026158,憑發票明細折10元,10
042286,+10元升牛肉,10
008409,手工醬油,10
038896,友士清酒10元日本展限定,10
089710,員-加荷包蛋,12
056509,台糖加鹽沙士,12
089137,真好家泡打粉,12
012257,代收手續費１２,12
046961,12元糖果,12
056234,滋露草莓巧克力,12
063618,日正麵食發酵粉,12
012027,二配熱狗麵包,12
009975,光泉雞蛋豆奶330cc,14
026204,加重奶,15
026730,代收手續費１５,15
084580,加酸辣,15
002089,中華豆花(花生風味),15
062056,森永嗨啾軟糖(百香果口味),15
063232,+蒟蒻,15
043882,老北京酸梅湯TP300,15
049015,巧克力醬,15
049910,加麵+15,15
022053,森永嗨啾乳酸飲料軟糖,15
061453,原味本舖麥仔茶TP375,15
094163,立頓巧克力奶茶TP330,15
068923,洋蔥涼拌菜,15
063631,味丹多喝水 600ml,15
079093,卡通口紅棒,15
054059,嗨啾夾心軟糖—葡萄,15
054158,綠豆芽,15
013408,雪碧汽水易開罐235ml,15
003511,醃蘿蔔,10
014606,蘆薈,15
056388,一配草莓夾心,15
003821,波爾天然水600CC,15
095542,QQ(珍珠+蒟蒻),15
090353,一配蜂蜜牛奶球,15
015238,御茶園特上檸檬茶TP330,15
020843,統一 LP33益敏優多,15
045930,滷豬血,15
084396,美粒果蘋果蘇打330ml,15
026044,雪碧汽水 330ml,16
081749,金車微舒打 葡萄,16
